HDAC6_measured;WPATH;WPOL;MLogP;nAromRings;nRings5;nRings6;SC-5;VC-3;VC-5;HybRatio;nAromBond;nAtomLAC;MDEC-11;MDEC-12;MDEC-22;MDEC-33;MDEO-11;MDEO-12;MDEO-22;MDEN-22;MDEN-23;MDEN-33;ALogP;Wlambda1.unity;Wlambda2.unity;Wnu1.unity;Wnu2.unity;Weta1.unity;Weta2.unity;Weta3.unity;WA.unity;WK.unity;WD.unity;khs.ssCH2;khs.dsCH;khs.aaCH;khs.aasC;khs.ssNH;khs.aaN;khs.sssN;khs.ssO;khs.sF;khs.sCl;nHBDon;BCUTw-1l;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;PetitjeanNumber;geomShape;bpol;XLogP;LipinskiFailures;WTPT-2;WTPT-3;WTPT-4;nRotB;MOMI-Z;MOMI-XY;MOMI-XZ;MOMI-R;FMF;ATSc1;ATSc2;ATSc3;ATSc4;ATSc5;PPSA-2;PNSA-1;DPSA-1;DPSA-3;FPSA-1;RPCS;RNCS;THSA;TPSA;RHSA;LOBMAX;SCH-7;VCH-5;VCH-6;C1SP2;C2SP2;C1SP3;C2SP3;SPC-6;VPC-5;tpsaEfficiency;nAtomP
0;3000.0;43.0;3.0;3.0;0.0;3.0;0.3;0.46;0.0703;0.273;17.0;7.0;0.0;0.0;19.1;5.61;0.434;0.0;0.0;1.65;0.0;0.0;3.12;0.564;5.01;0.015;0.133;0.308;0.336;0.528;181.0;0.389;1.17;6.0;0.0;9.0;3.0;3.0;2.0;0.0;0.0;0.0;0.0;4.0;11.9;-0.309;0.233;3.87;10.4;0.5;0.865;32.5;3.39;0.0;2.03;22.5;7.41;12.0;1830.0;1.11;8.25;10.5;0.309;0.524;-0.298;0.109;-0.141;0.132;1280.0;234.0;267.0;77.4;0.682;2.8;3.9;571.0;163.0;0.777;1.93;0.358;0.0;0.07;3.0;10.0;1.0;5.0;6.84;1.25;0.285;20.0
0;3710.0;51.0;2.89;3.0;0.0;3.0;0.384;0.578;0.0842;0.304;17.0;6.0;0.2;2.68;13.0;9.05;0.464;0.429;0.333;1.71;0.0;0.0;2.63;0.623;7.03;0.0172;0.194;0.286;0.406;0.479;223.0;0.342;1.17;5.0;0.0;7.0;5.0;3.0;2.0;0.0;2.0;0.0;0.0;4.0;11.9;-0.347;0.233;3.87;10.5;0.474;0.767;38.6;2.39;1.0;2.02;28.2;13.0;13.0;2830.0;1.19;5.5;10.7;0.283;0.833;-0.466;0.0768;-0.0453;0.0134;1690.0;222.0;338.0;88.4;0.716;2.33;1.93;592.0;191.0;0.756;2.87;0.401;0.0;0.063;3.0;10.0;1.0;4.0;9.01;1.61;0.297;22.0
1;2890.0;44.0;2.78;3.0;0.0;3.0;0.3;0.649;0.0703;0.238;17.0;6.0;0.0;0.0;14.8;7.21;0.464;0.0;0.0;1.71;0.0;0.0;3.33;0.582;5.19;0.0173;0.155;0.306;0.343;0.515;164.0;0.371;1.16;5.0;0.0;8.0;4.0;3.0;2.0;0.0;0.0;0.0;1.0;4.0;11.9;-0.309;0.233;3.87;10.5;0.471;0.966;29.7;3.45;0.0;2.03;25.1;7.41;11.0;2450.0;1.17;5.72;10.5;0.327;0.55;-0.304;0.116;-0.14;0.0701;1110.0;286.0;153.0;82.7;0.606;2.83;3.98;561.0;164.0;0.773;1.78;0.407;0.0;0.0663;3.0;10.0;1.0;4.0;7.74;1.48;0.272;20.0
1;2890.0;44.0;2.78;3.0;0.0;3.0;0.3;0.787;0.0703;0.238;17.0;6.0;0.0;0.0;14.8;7.21;0.464;0.0;0.0;1.71;0.0;0.0;3.41;0.588;5.21;0.0175;0.155;0.302;0.342;0.515;165.0;0.371;1.16;5.0;0.0;8.0;4.0;3.0;2.0;0.0;0.0;0.0;0.0;4.0;11.9;-0.309;0.233;3.87;10.8;0.471;0.966;30.6;3.62;0.0;2.03;25.1;7.41;11.0;3280.0;1.22;4.71;10.7;0.327;0.539;-0.301;0.115;-0.14;0.0862;1100.0;294.0;143.0;81.3;0.598;2.85;4.01;567.0;165.0;0.775;1.74;0.407;0.0;0.0663;3.0;10.0;1.0;4.0;7.74;1.65;0.247;20.0
0;3250.0;45.0;2.89;3.0;0.0;3.0;0.3;0.787;0.0703;0.273;17.0;7.0;0.0;0.0;16.7;7.04;0.434;0.0;0.0;1.65;0.0;0.0;3.87;0.511;5.11;0.0135;0.135;0.317;0.33;0.527;183.0;0.388;1.17;6.0;0.0;8.0;4.0;3.0;2.0;0.0;0.0;0.0;0.0;4.0;11.9;-0.309;0.233;3.87;10.8;0.5;0.874;32.7;4.19;0.0;2.03;25.1;7.41;12.0;3500.0;1.2;5.08;11.2;0.309;0.539;-0.301;0.115;-0.142;0.0775;1190.0;294.0;172.0;81.5;0.613;2.78;4.0;597.0;162.0;0.786;1.8;0.407;0.0;0.0663;3.0;10.0;1.0;5.0;7.74;1.65;0.24;20.0
0;3250.0;45.0;2.89;3.0;0.0;3.0;0.3;0.649;0.0703;0.273;17.0;7.0;0.0;0.0;16.7;7.04;0.434;0.0;0.0;1.65;0.0;0.0;3.79;0.505;5.09;0.0134;0.135;0.32;0.332;0.527;182.0;0.389;1.18;6.0;0.0;8.0;4.0;3.0;2.0;0.0;0.0;0.0;1.0;4.0;11.9;-0.309;0.233;3.87;10.5;0.5;0.874;31.9;4.01;0.0;2.03;25.1;7.41;12.0;2610.0;1.16;6.27;11.0;0.309;0.55;-0.304;0.115;-0.143;0.0615;1210.0;286.0;182.0;82.9;0.621;2.76;3.97;590.0;162.0;0.784;1.84;0.407;0.0;0.0663;3.0;10.0;1.0;5.0;7.74;1.48;0.263;20.0
0;4130.0;52.0;3.0;3.0;0.0;3.0;0.384;0.578;0.0842;0.333;17.0;7.0;0.2;2.77;15.0;8.87;0.434;0.413;0.333;1.65;0.0;0.0;3.09;0.639;7.01;0.0159;0.174;0.284;0.394;0.491;253.0;0.357;1.17;6.0;0.0;7.0;5.0;3.0;2.0;0.0;2.0;0.0;0.0;4.0;12.0;-0.347;0.233;3.87;10.5;0.5;0.858;40.8;2.95;1.0;2.02;28.2;13.0;14.0;3120.0;1.18;5.75;11.3;0.27;0.833;-0.466;0.0764;-0.0478;0.00468;1820.0;224.0;370.0;89.2;0.726;2.3;1.84;627.0;190.0;0.768;1.87;0.401;0.0;0.063;3.0;10.0;1.0;5.0;9.01;1.61;0.288;22.0
